"АИР","8","8","8","АИР","аир"
"МАЯК","24","24","24","МАЯК","маяк"
"ЧМЗ","54","54","54","ЧМЗ","чмз"
"ALCA","87","86","87","ALCA","alca"
"ANJUN","101","100","101","ANJUN","anjun"
"API","103","103","103","Api","api"
"Arirang","106","106","106","Arirang","arirang"
"AUTO-GUR","136","136","136","AUTO-GUR","auto-gur"
"AUTOWELT","148","147","148","AUTOWELT","autowelt"
"BKP","177","175","177","BKP","bkp"
"BOSCH","197","191","197","BOSCH","bosch"
"CAR-DEX","215","213","215","CAR-DEX","car-dex"
"CHUNWOO","227","224","227","CHUNWOO","chunwoo"
"CONTITECH","235","232","235","CONTITECH","contitech"
"CR","241","238","241","CR","cr"
"CTR","246","243","246","CTR","ctr"
"DAECHANG","255","252","255","DAECHANG","daechang"
"DANFOSS","256","254","256","DANFOSS","danfoss"
"DASCO","257","255","257","DASCO","dasco"
"DAYCO","260","257","260","DAYCO","dayco"
"DCC","262","260","262","DCC","dcc"
"DELPHI","264","262","264","DELPHI","delphi"
"DENSO","267","264","267","DENSO","denso"
"DEPO","269","266","269","DEPO","depo"
"DONGIL","294","290","294","DONGIL","dongil"
"DONGYANG","297","293","297","DONGYANG","dongyang"
"DOOWON","299","297","299","DOOWON","doowon"
"EHWA","323","317","323","EHWA","ehwa"
"ELRING","326","320","326","ELRING","elring"
"ERA","339","333","339","ERA","era"
"ERT","342","337","342","ERT","ert"
"EX-TRIM","350","345","350","EX-TRIM","ex-trim"
"FAG","357","352","357","FAG","fag"
"FEBEST","362","357","362","FEBEST","febest"
"FILTRON","391","386","391","FILTRON","filtron"
"FOBOS","407","401","407","Fobos","fobos"
"FORTECH","426","421","426","Fortech","fortech"
"FRENKIT","432","427","432","FRENKIT","frenkit"
"FROZ","438","433","438","FROZ","froz"
"FUKOKU","442","437","442","FUKOKU","fukoku"
"FYC","448","442","448","FYC","fyc"
"GARRETT","454","449","454","GARRETT","garrett"
"GATES","455","450","455","GATES","gates"
"GEOPYUNG","461","456","461","GEOPYUNG","geopyung"
"GMB","483","478","483","GMB","gmb"
"GMP","485","479","485","GMP","gmp"
"GMP","485","480","485","GMP","gmp"
"GOLDEN","493","488","493","GOLDEN","golden"
"GOODWILL","495","490","495","GOODWILL","goodwill"
"HALLA","514","506","514","HALLA","halla"
"HKT","540","535","540","HKT","hkt"
"HOS","549","544","549","HOS","hos"
"HSB","552","547","552","HSB","hsb"
"INFAC","573","568","573","INFAC","infac"
"INA","574","569","574","INA","ina"
"INZI","579","573","579","INZI","inzi"
"ISKRA","581","575","581","Iskra","iskra"
"JHF","600","594","600","JHF","jhf"
"KASHIYAMA","621","615","621","KASHIYAMA","kashiyama"
"KAYABA","626","619","626","KAYABA","kayaba"
"KBC","628","622","628","KBC","kbc"
"Kemptner","629","624","629","Kemptner","kemptner"
"KFM","631","626","631","KFM","kfm"
"KJC","639","634","639","KJC","kjc"
"KNECHT/MAHLE","658","653","658","KNECHT/MAHLE","knecht-mahle"
"KOJIN","662","657","662","KOJIN","kojin"
"KOS","675","669","675","KOS","kos"
"KOYO","677","672","677","KOYO","koyo"
"KPR","680","674","680","KPR","kpr"
"KRAUF","682","677","682","KRAUF","krauf"
"Kross","684","679","684","KROSS","kross"
"LUZAR","717","711","717","LUZAR","luzar"
"LYNX","720","714","720","LYNX","lynx"
"MANDO","737","729","737","MANDO","mando"
"MARSHALL","746","741","746","MARSHALL","marshall"
"MASUMA","750","745","750","MASUMA","masuma"
"MIDO","783","778","783","MIDO","mido"
"MITSUBISHI","790","782","790","Mitsubishi","mitsubishi"
"Motorherz","830","808","830","Motorherz","motorherz"
"NAKAMOTO","841","819","841","NAKAMOTO","nakamoto"
"NARVA","845","823","845","NARVA","narva"
"nbn","847","824","847","NBN","nbn"
"NDC","849","827","849","NDC","ndc"
"NGK","855","832","855","NGK","ngk"
